Metric,Value
NVT Ratio,109.31051201992953
Price/Volume Ratio,2.874233880034197e-06
Market Cap Growth Rate,0.05014653207424291
Volume CAGR,1.6240773874866052
Liquidity Ratio,0.02174492494648918
Mayer Multiple,0.5751290139212429
Price Momentum,0.05014653207424289
Volume Momentum,1.9534150172199818
Volatility-Adjusted Market Cap,998638898.8522537
Turnover Ratio,1023.859791105443
Price Stability Ratio,158.5173932901121
Volume-to-Price Ratio,347918.7991438269
Discounted Expected Utility Value,10.24426132244128
Price to Volatility Cost,0.9373712798190109
Regulatory Discount,103.2
